item_id,name,calories,protein,carbs,fat,fiber,diet_type,meal_type,goal_tag
41,Tandoori Pasta with Avocado,730,34,16,18,2,Vegan,Breakfast,Muscle Gain
42,Tandoori Rice Bowl with Steamed Veggies,789,29,71,3,7,Vegan,Breakfast,Muscle Gain
43,Steamed Rice Bowl with Avocado,672,16,16,19,2,Vegan,Breakfast,Muscle Gain
44,Crispy Rice Bowl with Olive Oil,270,37,53,3,5,Vegetarian,Breakfast,Weight Loss
45,Lemon Tofu with Basmati Rice,616,36,81,18,8,Non-Vegetarian,Breakfast,Muscle Gain
46,Crispy Oatmeal with Avocado,702,11,11,21,2,Vegan,Breakfast,Muscle Gain
47,Lemon Soup with Avocado,472,14,19,6,2,Non-Vegetarian,Breakfast,Maintenance
48,Grilled Rice Bowl Delight,495,30,80,5,8,Vegan,Breakfast,Maintenance
49,Baked Lentil with Herbs,613,37,10,32,2,Vegetarian,Breakfast,Muscle Gain
50,Crispy Lentil Delight,652,8,36,20,3,Vegan,Breakfast,Muscle Gain
51,Classic Salad Special,595,14,73,5,7,Vegetarian,Breakfast,Maintenance
52,Baked Soup Platter,361,9,66,25,6,Vegetarian,Breakfast,Weight Loss
53,Spicy Paneer with Steamed Veggies,566,20,85,23,8,Non-Vegetarian,Breakfast,Maintenance
54,Crispy Wrap with Olive Oil,325,31,55,30,5,Non-Vegetarian,Breakfast,Weight Loss
55,Creamy Tofu with Olive Oil,791,37,37,12,3,Vegetarian,Breakfast,Muscle Gain
56,Steamed Avocado Toast with Garlic Sauce,229,16,44,22,4,Non-Vegetarian,Breakfast,Weight Loss
57,Classic Wrap with Basmati Rice,585,31,68,24,6,Vegan,Breakfast,Maintenance
58,Roasted Soup Special,697,43,66,29,6,Vegetarian,Breakfast,Muscle Gain
59,Lemon Pasta with Basmati Rice,340,21,47,23,4,Vegan,Breakfast,Weight Loss
60,Classic Rice Bowl with Avocado,332,29,78,17,7,Vegetarian,Breakfast,Weight Loss
61,Crispy Salmon with Olive Oil,559,14,40,9,4,Non-Vegetarian,Breakfast,Maintenance
62,Healthy Stir-Fry Platter,593,34,84,5,8,Non-Vegetarian,Breakfast,Maintenance
63,Steamed Paneer with Steamed Veggies,453,33,66,13,6,Non-Vegetarian,Breakfast,Maintenance
64,Steamed Rice Bowl with Garlic Sauce,458,43,29,24,2,Non-Vegetarian,Breakfast,Maintenance
65,Steamed Rice Bowl Platter,570,6,56,22,5,Non-Vegetarian,Breakfast,Maintenance
66,Grilled Pasta with Avocado,585,14,30,14,3,Non-Vegetarian,Breakfast,Maintenance
67,Crispy Avocado Toast with Herbs,491,10,30,20,3,Non-Vegetarian,Breakfast,Maintenance
68,Lemon Rice Bowl Delight,264,12,73,4,7,Vegan,Breakfast,Weight Loss
69,Healthy Lentil with Basmati Rice,306,42,52,11,5,Vegetarian,Breakfast,Weight Loss
70,Roasted Chicken with Garlic Sauce,406,7,35,5,3,Non-Vegetarian,Breakfast,Maintenance
71,Garlic Wrap with Olive Oil,607,25,45,18,4,Non-Vegetarian,Breakfast,Muscle Gain
72,Garlic Salad Platter,596,40,25,19,2,Non-Vegetarian,Breakfast,Maintenance
73,Creamy Beef with Basmati Rice,785,31,89,4,8,Non-Vegetarian,Breakfast,Muscle Gain
74,Roasted Rice Bowl Delight,675,18,53,12,5,Vegan,Breakfast,Muscle Gain
75,Tandoori Paneer with Garlic Sauce,574,30,56,5,5,Vegan,Breakfast,Maintenance
76,Grilled Quinoa Salad with Olive Oil,771,28,28,15,2,Vegetarian,Breakfast,Muscle Gain
77,Roasted Paneer Platter,589,14,41,5,4,Non-Vegetarian,Breakfast,Maintenance
78,Spicy Salad with Olive Oil,628,14,62,16,6,Vegan,Breakfast,Muscle Gain
79,Steamed Wrap Special,604,27,28,21,2,Non-Vegetarian,Breakfast,Muscle Gain
80,Crispy Salmon with Basmati Rice,253,11,62,24,6,Non-Vegetarian,Breakfast,Weight Loss
81,Steamed Stir-Fry with Basmati Rice,747,7,32,29,3,Vegan,Breakfast,Muscle Gain
82,Roasted Paneer with Garlic Sauce,238,5,48,9,4,Vegetarian,Breakfast,Weight Loss
83,Baked Paneer Special,714,24,25,21,2,Vegetarian,Breakfast,Muscle Gain
84,Lemon Oatmeal with Herbs,690,20,87,16,8,Vegan,Breakfast,Muscle Gain
85,Garlic Tofu Delight,644,26,82,9,8,Non-Vegetarian,Breakfast,Muscle Gain
86,Lemon Pasta Delight,477,7,19,20,2,Vegan,Breakfast,Maintenance
87,Lemon Avocado Toast with Herbs,548,43,88,28,8,Vegetarian,Breakfast,Maintenance
88,Baked Quinoa Salad Delight,702,19,55,27,5,Non-Vegetarian,Breakfast,Muscle Gain
89,Steamed Salad with Avocado,510,20,42,12,4,Vegetarian,Breakfast,Maintenance
90,Baked Oatmeal Platter,731,40,84,17,8,Vegan,Breakfast,Muscle Gain
91,Grilled Soup with Herbs,368,20,76,14,7,Vegan,Breakfast,Weight Loss
92,Garlic Lentil with Herbs,444,24,24,14,2,Non-Vegetarian,Breakfast,Maintenance
93,Spicy Salad with Avocado,399,29,81,35,8,Vegetarian,Breakfast,Weight Loss
94,Baked Paneer with Garlic Sauce,750,23,31,32,3,Vegan,Breakfast,Muscle Gain
95,Grilled Wrap with Garlic Sauce,751,15,51,21,5,Non-Vegetarian,Breakfast,Muscle Gain
96,Roasted Chicken with Herbs,361,33,68,3,6,Non-Vegetarian,Breakfast,Weight Loss
97,Steamed Pasta with Avocado,253,30,90,22,9,Vegetarian,Breakfast,Weight Loss
98,Baked Tofu with Steamed Veggies,607,37,46,35,4,Vegan,Breakfast,Muscle Gain
99,Classic Rice Bowl with Basmati Rice,259,20,21,30,2,Vegetarian,Breakfast,Weight Loss
100,Roasted Lentil Platter,729,21,31,26,3,Vegan,Breakfast,Muscle Gain
101,Lemon Quinoa Salad Platter,247,30,18,32,2,Vegan,Breakfast,Weight Loss
102,Healthy Wrap with Avocado,603,9,85,6,8,Non-Vegetarian,Breakfast,Muscle Gain
103,Garlic Quinoa Salad with Garlic Sauce,241,18,51,12,5,Vegan,Breakfast,Weight Loss
104,Lemon Stir-Fry with Basmati Rice,220,38,71,3,7,Vegan,Breakfast,Weight Loss
105,Creamy Lentil with Basmati Rice,779,11,73,12,7,Vegan,Breakfast,Muscle Gain
106,Grilled Lentil with Avocado,290,45,52,31,5,Vegan,Breakfast,Weight Loss
107,Baked Lentil with Olive Oil,307,9,53,13,5,Vegan,Breakfast,Weight Loss
108,Steamed Paneer Special,360,8,22,24,2,Vegetarian,Breakfast,Weight Loss
109,Creamy Wrap Delight,357,8,56,3,5,Vegetarian,Breakfast,Weight Loss
110,Steamed Soup Delight,404,11,13,16,2,Vegetarian,Breakfast,Maintenance
111,Crispy Pasta with Olive Oil,620,21,59,34,5,Vegetarian,Breakfast,Muscle Gain
112,Baked Pasta with Garlic Sauce,703,11,39,11,3,Vegetarian,Breakfast,Muscle Gain
113,Spicy Paneer with Basmati Rice,426,19,36,20,3,Vegetarian,Breakfast,Maintenance
114,Crispy Soup with Olive Oil,774,43,87,21,8,Vegan,Breakfast,Muscle Gain
115,Healthy Lentil with Garlic Sauce,532,22,43,22,4,Vegetarian,Breakfast,Maintenance
116,Crispy Tofu with Olive Oil,529,38,34,4,3,Vegan,Breakfast,Maintenance
117,Classic Salmon with Basmati Rice,552,24,26,9,2,Non-Vegetarian,Breakfast,Maintenance
118,Roasted Pasta with Basmati Rice,469,38,35,25,3,Vegan,Breakfast,Maintenance
119,Healthy Pasta with Herbs,787,36,29,8,2,Non-Vegetarian,Breakfast,Muscle Gain
120,Classic Tofu with Garlic Sauce,436,34,47,19,4,Non-Vegetarian,Breakfast,Maintenance
121,Garlic Avocado Toast with Steamed Veggies,497,28,50,30,5,Vegan,Breakfast,Maintenance
122,Spicy Oatmeal with Avocado,374,26,55,31,5,Vegan,Breakfast,Weight Loss
123,Tandoori Salad with Garlic Sauce,594,35,63,13,6,Vegetarian,Breakfast,Maintenance
124,Steamed Oatmeal with Basmati Rice,693,27,59,12,5,Vegetarian,Breakfast,Muscle Gain
125,Creamy Stir-Fry with Garlic Sauce,720,40,36,32,3,Vegan,Breakfast,Muscle Gain
126,Lemon Salad with Basmati Rice,546,11,63,5,6,Vegetarian,Breakfast,Maintenance
127,Crispy Salad Special,746,23,64,3,6,Vegetarian,Breakfast,Muscle Gain
128,Tandoori Paneer with Steamed Veggies,257,17,44,13,4,Vegan,Breakfast,Weight Loss
129,Baked Wrap with Garlic Sauce,333,15,84,19,8,Vegetarian,Breakfast,Weight Loss
130,Healthy Salmon with Basmati Rice,634,11,36,30,3,Non-Vegetarian,Breakfast,Muscle Gain
131,Garlic Wrap with Basmati Rice,339,30,79,21,7,Vegetarian,Breakfast,Weight Loss
132,Lemon Oatmeal with Olive Oil,416,31,75,12,7,Vegetarian,Breakfast,Maintenance
133,Grilled Tofu Platter,480,21,84,14,8,Non-Vegetarian,Breakfast,Maintenance
134,Steamed Beef with Basmati Rice,353,16,30,26,3,Non-Vegetarian,Breakfast,Weight Loss
135,Lemon Rice Bowl with Olive Oil,316,35,71,33,7,Non-Vegetarian,Breakfast,Weight Loss
136,Garlic Chicken with Avocado,464,16,76,28,7,Non-Vegetarian,Breakfast,Maintenance
137,Classic Soup with Garlic Sauce,287,18,67,33,6,Non-Vegetarian,Breakfast,Weight Loss
138,Crispy Avocado Toast Platter,629,14,87,9,8,Vegan,Breakfast,Muscle Gain
139,Creamy Pasta Platter,618,21,34,3,3,Vegetarian,Breakfast,Muscle Gain
140,Crispy Tofu Platter,207,29,36,23,3,Non-Vegetarian,Breakfast,Weight Loss
141,Tandoori Pasta Special,733,23,86,6,8,Non-Vegetarian,Breakfast,Muscle Gain
142,Healthy Rice Bowl with Basmati Rice,435,25,62,25,6,Vegetarian,Breakfast,Maintenance
143,Baked Salmon with Garlic Sauce,295,30,53,7,5,Non-Vegetarian,Breakfast,Weight Loss
144,Crispy Salad with Olive Oil,208,5,36,27,3,Non-Vegetarian,Breakfast,Weight Loss
145,Garlic Chicken with Basmati Rice,460,35,90,9,9,Non-Vegetarian,Breakfast,Maintenance
146,Classic Oatmeal with Garlic Sauce,281,18,31,28,3,Vegan,Breakfast,Weight Loss
147,Roasted Wrap with Steamed Veggies,226,30,77,8,7,Vegan,Breakfast,Weight Loss
148,Crispy Wrap with Herbs,459,35,48,15,4,Non-Vegetarian,Breakfast,Maintenance
149,Classic Salad with Avocado,580,10,41,13,4,Non-Vegetarian,Breakfast,Maintenance
150,Creamy Lentil with Steamed Veggies,261,27,29,9,2,Non-Vegetarian,Breakfast,Weight Loss
151,Lemon Oatmeal Platter,629,19,67,20,6,Non-Vegetarian,Breakfast,Muscle Gain
152,Healthy Paneer with Avocado,632,43,18,27,2,Vegan,Breakfast,Muscle Gain
153,Classic Salad with Herbs,745,13,26,33,2,Vegan,Breakfast,Muscle Gain
154,Lemon Beef Delight,419,39,26,33,2,Non-Vegetarian,Breakfast,Maintenance
155,Healthy Stir-Fry with Herbs,440,30,25,18,2,Vegan,Breakfast,Maintenance
156,Healthy Rice Bowl Platter,523,21,36,23,3,Non-Vegetarian,Breakfast,Maintenance
157,Crispy Lentil Platter,335,27,18,18,2,Vegan,Breakfast,Weight Loss
158,Spicy Avocado Toast Delight,427,17,68,25,6,Vegetarian,Breakfast,Maintenance
159,Spicy Oatmeal Platter,253,27,38,7,3,Vegetarian,Breakfast,Weight Loss
160,Lemon Rice Bowl with Basmati Rice,513,42,57,33,5,Vegetarian,Breakfast,Maintenance
161,Creamy Quinoa Salad Delight,651,26,33,6,3,Vegan,Breakfast,Muscle Gain
162,Roasted Oatmeal Delight,498,7,39,21,3,Vegetarian,Breakfast,Maintenance
163,Classic Lentil Special,712,39,73,31,7,Vegetarian,Breakfast,Muscle Gain
164,Classic Lentil with Garlic Sauce,226,10,39,4,3,Vegetarian,Breakfast,Weight Loss
165,Crispy Stir-Fry with Olive Oil,302,33,22,32,2,Vegan,Breakfast,Weight Loss
166,Steamed Avocado Toast Platter,589,25,90,34,9,Vegetarian,Breakfast,Maintenance
167,Healthy Salmon with Garlic Sauce,432,10,65,9,6,Non-Vegetarian,Breakfast,Maintenance
168,Garlic Oatmeal with Garlic Sauce,229,7,51,6,5,Vegetarian,Breakfast,Weight Loss
169,Creamy Rice Bowl with Garlic Sauce,233,28,37,31,3,Vegetarian,Breakfast,Weight Loss
170,Creamy Paneer with Herbs,329,22,89,23,8,Vegetarian,Breakfast,Weight Loss
171,Steamed Pasta Platter,420,32,67,17,6,Non-Vegetarian,Breakfast,Maintenance
172,Healthy Oatmeal with Olive Oil,333,40,17,24,2,Vegetarian,Breakfast,Weight Loss
173,Garlic Paneer with Steamed Veggies,283,22,66,30,6,Vegan,Breakfast,Weight Loss
174,Spicy Lentil with Avocado,671,28,21,30,2,Vegetarian,Breakfast,Muscle Gain
175,Baked Avocado Toast with Avocado,356,9,32,34,3,Vegan,Breakfast,Weight Loss
176,Baked Tofu with Herbs,719,29,69,5,6,Vegetarian,Breakfast,Muscle Gain
177,Healthy Quinoa Salad with Olive Oil,286,37,32,5,3,Vegetarian,Breakfast,Weight Loss
178,Steamed Paneer with Olive Oil,517,30,26,8,2,Non-Vegetarian,Breakfast,Maintenance
179,Spicy Rice Bowl Platter,582,20,59,8,5,Vegetarian,Breakfast,Maintenance
180,Creamy Wrap with Steamed Veggies,727,41,40,12,4,Vegetarian,Breakfast,Muscle Gain
181,Classic Quinoa Salad with Olive Oil,336,7,55,24,5,Non-Vegetarian,Breakfast,Weight Loss
182,Baked Oatmeal Delight,419,44,46,34,4,Vegetarian,Breakfast,Maintenance
183,Lemon Salad with Herbs,473,33,41,12,4,Vegetarian,Breakfast,Maintenance
184,Classic Stir-Fry with Basmati Rice,448,8,77,17,7,Non-Vegetarian,Breakfast,Maintenance
185,Tandoori Pasta Delight,473,26,48,3,4,Vegetarian,Breakfast,Maintenance
186,Crispy Pasta Platter,407,41,78,12,7,Vegan,Breakfast,Maintenance
187,Roasted Soup with Garlic Sauce,222,30,42,3,4,Non-Vegetarian,Breakfast,Weight Loss
188,Spicy Pasta with Herbs,683,7,46,29,4,Non-Vegetarian,Breakfast,Muscle Gain
189,Creamy Pasta with Avocado,637,40,73,6,7,Non-Vegetarian,Breakfast,Muscle Gain
190,Tandoori Rice Bowl Platter,742,13,59,18,5,Non-Vegetarian,Breakfast,Muscle Gain
191,Crispy Pasta Special,502,14,35,24,3,Vegetarian,Breakfast,Maintenance
192,Classic Beef Platter,493,6,74,30,7,Non-Vegetarian,Breakfast,Maintenance
193,Crispy Paneer with Basmati Rice,396,44,77,19,7,Vegan,Breakfast,Weight Loss
194,Tandoori Rice Bowl Special,765,35,17,3,2,Vegan,Breakfast,Muscle Gain
195,Creamy Quinoa Salad with Olive Oil,594,5,47,29,4,Non-Vegetarian,Breakfast,Maintenance
196,Steamed Soup Special,539,32,23,3,2,Non-Vegetarian,Breakfast,Maintenance
197,Classic Paneer with Olive Oil,519,26,68,16,6,Vegan,Breakfast,Maintenance
198,Tandoori Pasta with Steamed Veggies,483,13,26,18,2,Vegan,Breakfast,Maintenance
199,Steamed Oatmeal with Avocado,322,5,27,3,2,Vegetarian,Breakfast,Weight Loss
200,Classic Stir-Fry with Herbs,708,34,75,26,7,Vegetarian,Breakfast,Muscle Gain
201,Spicy Quinoa Salad with Steamed Veggies,572,29,29,14,2,Vegan,Breakfast,Maintenance
202,Healthy Pasta Delight,489,24,51,8,5,Vegetarian,Breakfast,Maintenance
203,Baked Beef with Avocado,231,30,67,18,6,Non-Vegetarian,Breakfast,Weight Loss
204,Creamy Beef with Herbs,222,9,35,31,3,Non-Vegetarian,Breakfast,Weight Loss
205,Healthy Tofu Delight,372,41,65,28,6,Vegetarian,Breakfast,Weight Loss
206,Baked Lentil with Avocado,361,32,72,23,7,Vegetarian,Breakfast,Weight Loss
207,Creamy Rice Bowl with Steamed Veggies,386,43,50,17,5,Non-Vegetarian,Breakfast,Weight Loss
208,Tandoori Salad Special,370,31,73,27,7,Vegan,Breakfast,Weight Loss
209,Grilled Quinoa Salad with Basmati Rice,767,39,43,21,4,Vegan,Breakfast,Muscle Gain
210,Lemon Paneer with Garlic Sauce,283,35,24,22,2,Vegan,Breakfast,Weight Loss
211,Tandoori Salmon with Avocado,464,25,18,8,2,Non-Vegetarian,Breakfast,Maintenance
212,Garlic Paneer with Herbs,308,41,22,21,2,Vegetarian,Breakfast,Weight Loss
213,Garlic Pasta Delight,528,22,63,8,6,Vegan,Breakfast,Maintenance
214,Crispy Stir-Fry with Garlic Sauce,371,9,15,22,2,Vegetarian,Breakfast,Weight Loss
215,Roasted Rice Bowl with Herbs,760,21,70,12,7,Vegetarian,Breakfast,Muscle Gain
216,Healthy Oatmeal with Herbs,462,19,68,21,6,Non-Vegetarian,Breakfast,Maintenance
217,Steamed Lentil with Steamed Veggies,737,41,82,17,8,Vegetarian,Breakfast,Muscle Gain
218,Spicy Rice Bowl with Garlic Sauce,769,21,26,13,2,Vegetarian,Breakfast,Muscle Gain
219,Spicy Stir-Fry Special,750,40,20,22,2,Vegan,Breakfast,Muscle Gain
220,Steamed Stir-Fry with Herbs,487,13,78,15,7,Vegan,Breakfast,Maintenance
221,Creamy Rice Bowl with Basmati Rice,237,40,43,33,4,Non-Vegetarian,Breakfast,Weight Loss
222,Grilled Wrap with Steamed Veggies,444,44,31,35,3,Vegetarian,Breakfast,Maintenance
223,Steamed Lentil with Herbs,733,45,45,19,4,Vegan,Breakfast,Muscle Gain
224,Tandoori Soup with Steamed Veggies,293,14,70,30,7,Vegan,Breakfast,Weight Loss
225,Lemon Soup with Steamed Veggies,361,10,45,28,4,Vegetarian,Breakfast,Weight Loss
226,Garlic Rice Bowl Platter,309,40,19,35,2,Vegetarian,Breakfast,Weight Loss
227,Steamed Avocado Toast Special,303,25,56,19,5,Vegan,Breakfast,Weight Loss
228,Grilled Lentil with Olive Oil,498,22,87,28,8,Vegan,Breakfast,Maintenance
229,Baked Stir-Fry with Avocado,286,29,49,17,4,Vegan,Breakfast,Weight Loss
230,Roasted Stir-Fry Delight,478,44,72,15,7,Non-Vegetarian,Breakfast,Maintenance
231,Spicy Wrap with Steamed Veggies,390,11,46,20,4,Vegan,Breakfast,Weight Loss
232,Healthy Tofu Platter,303,19,78,27,7,Vegetarian,Breakfast,Weight Loss
233,Classic Rice Bowl Delight,789,37,21,17,2,Non-Vegetarian,Breakfast,Muscle Gain
234,Tandoori Lentil with Herbs,315,31,64,26,6,Vegetarian,Breakfast,Weight Loss
235,Garlic Paneer with Garlic Sauce,477,8,69,3,6,Vegetarian,Breakfast,Maintenance
236,Lemon Wrap Delight,774,6,15,18,2,Vegan,Breakfast,Muscle Gain
237,Baked Salad Special,511,23,69,13,6,Vegan,Breakfast,Maintenance
238,Baked Lentil Delight,385,12,26,15,2,Vegetarian,Breakfast,Weight Loss
239,Lemon Lentil with Olive Oil,690,35,14,11,2,Vegan,Breakfast,Muscle Gain
240,Tandoori Tofu Delight,443,28,67,22,6,Vegetarian,Breakfast,Maintenance
241,Steamed Paneer with Basmati Rice,237,34,59,10,5,Non-Vegetarian,Breakfast,Weight Loss
242,Creamy Quinoa Salad Special,535,36,17,8,2,Non-Vegetarian,Breakfast,Maintenance
243,Roasted Avocado Toast with Basmati Rice,713,22,62,26,6,Non-Vegetarian,Breakfast,Muscle Gain
244,Roasted Oatmeal with Olive Oil,315,42,71,8,7,Non-Vegetarian,Breakfast,Weight Loss
245,Baked Quinoa Salad with Steamed Veggies,493,36,20,11,2,Non-Vegetarian,Breakfast,Maintenance
246,Roasted Oatmeal with Basmati Rice,343,7,34,4,3,Non-Vegetarian,Breakfast,Weight Loss
247,Classic Soup with Avocado,214,16,90,6,9,Vegan,Breakfast,Weight Loss
248,Creamy Quinoa Salad with Basmati Rice,264,17,64,24,6,Vegetarian,Breakfast,Weight Loss
249,Healthy Stir-Fry with Olive Oil,752,37,38,32,3,Non-Vegetarian,Breakfast,Muscle Gain
250,Tandoori Salmon Delight,525,43,87,35,8,Non-Vegetarian,Breakfast,Maintenance
251,Tandoori Tofu with Steamed Veggies,619,45,44,29,4,Non-Vegetarian,Breakfast,Muscle Gain
252,Healthy Avocado Toast Platter,260,35,25,19,2,Vegan,Breakfast,Weight Loss
253,Steamed Pasta with Herbs,326,43,36,15,3,Vegetarian,Breakfast,Weight Loss
254,Healthy Salad with Herbs,732,13,73,26,7,Vegetarian,Breakfast,Muscle Gain
255,Tandoori Stir-Fry with Olive Oil,356,24,89,9,8,Vegan,Breakfast,Weight Loss
256,Crispy Soup with Garlic Sauce,368,36,65,11,6,Vegan,Breakfast,Weight Loss
257,Lemon Salmon with Basmati Rice,519,42,20,7,2,Non-Vegetarian,Breakfast,Maintenance
258,Garlic Lentil Platter,238,34,64,35,6,Vegetarian,Breakfast,Weight Loss
259,Lemon Beef with Garlic Sauce,248,24,83,28,8,Non-Vegetarian,Breakfast,Weight Loss
260,Lemon Lentil Delight,351,20,29,22,2,Non-Vegetarian,Breakfast,Weight Loss
261,Classic Avocado Toast with Avocado,441,12,83,35,8,Vegetarian,Breakfast,Maintenance
262,Crispy Quinoa Salad with Steamed Veggies,319,5,31,33,3,Vegetarian,Breakfast,Weight Loss
263,Spicy Rice Bowl with Olive Oil,766,9,44,29,4,Non-Vegetarian,Breakfast,Muscle Gain
264,Lemon Tofu Platter,429,36,43,24,4,Non-Vegetarian,Breakfast,Maintenance
265,Spicy Soup with Avocado,788,8,90,21,9,Vegetarian,Breakfast,Muscle Gain
266,Lemon Salad Delight,233,15,81,26,8,Non-Vegetarian,Breakfast,Weight Loss
267,Roasted Stir-Fry with Garlic Sauce,779,33,53,27,5,Vegetarian,Breakfast,Muscle Gain
268,Crispy Tofu with Basmati Rice,754,41,16,15,2,Non-Vegetarian,Breakfast,Muscle Gain
269,Crispy Paneer with Garlic Sauce,347,16,42,8,4,Vegan,Breakfast,Weight Loss
270,Spicy Lentil Delight,766,31,18,33,2,Vegetarian,Breakfast,Muscle Gain
271,Classic Wrap with Herbs,507,10,60,10,6,Vegan,Breakfast,Maintenance
272,Tandoori Stir-Fry Delight,741,21,80,3,8,Vegetarian,Breakfast,Muscle Gain
273,Baked Avocado Toast Platter,403,14,57,13,5,Non-Vegetarian,Breakfast,Maintenance
274,Grilled Salad with Steamed Veggies,314,28,49,18,4,Non-Vegetarian,Breakfast,Weight Loss
275,Steamed Oatmeal with Garlic Sauce,283,15,40,14,4,Vegan,Breakfast,Weight Loss
276,Spicy Rice Bowl Delight,681,23,14,17,2,Vegan,Breakfast,Muscle Gain
277,Healthy Soup with Avocado,710,23,75,20,7,Vegetarian,Breakfast,Muscle Gain
278,Crispy Paneer Special,664,28,79,29,7,Vegan,Breakfast,Muscle Gain
279,Baked Oatmeal with Olive Oil,426,26,31,7,3,Vegetarian,Breakfast,Maintenance
280,Baked Rice Bowl Special,454,15,51,23,5,Vegan,Breakfast,Maintenance
281,Roasted Wrap with Olive Oil,279,41,24,6,2,Non-Vegetarian,Breakfast,Weight Loss
282,Healthy Beef Platter,575,39,15,31,2,Non-Vegetarian,Breakfast,Maintenance
283,Lemon Quinoa Salad with Olive Oil,638,15,88,11,8,Vegan,Breakfast,Muscle Gain
284,Crispy Oatmeal with Garlic Sauce,577,34,72,23,7,Vegetarian,Breakfast,Maintenance
285,Healthy Chicken with Basmati Rice,688,9,26,17,2,Non-Vegetarian,Breakfast,Muscle Gain
286,Healthy Quinoa Salad with Avocado,324,5,17,17,2,Vegetarian,Breakfast,Weight Loss
287,Creamy Soup with Basmati Rice,366,33,19,5,2,Vegetarian,Breakfast,Weight Loss
288,Steamed Lentil Platter,623,42,39,6,3,Vegan,Breakfast,Muscle Gain
289,Spicy Salmon with Olive Oil,700,43,67,14,6,Non-Vegetarian,Breakfast,Muscle Gain
290,Roasted Beef with Garlic Sauce,628,30,59,5,5,Non-Vegetarian,Breakfast,Muscle Gain
291,Steamed Soup with Avocado,536,27,66,20,6,Vegan,Breakfast,Maintenance
292,Grilled Paneer with Herbs,610,30,68,20,6,Vegetarian,Breakfast,Muscle Gain
293,Roasted Lentil with Herbs,521,5,77,17,7,Vegetarian,Breakfast,Maintenance
